"Eric Moreland, C",DET,67,12.0,-2.96,3.21,0.25,1.68
"Taj Gibson, PF",MIN,82,33.3,-0.36,0.57,0.21,5.76
"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
"D.J. Augustin, PG",ORL,75,23.5,0.68,-0.67,0.01,3.55
"Evan Fournier, SG",ORL,57,32.2,1.32,-1.34,-0.02,3.76
"Jared Dudley, SF",PHX,48,14.3,-0.89,0.81,-0.08,1.36
"Julius Randle, PF",LAL,82,26.7,0.71,-0.13,0.58,5.28
"Kentavious Caldwell-Pope, SG",LAL,74,33.2,0.88,-0.32,0.56,5.90
"Aron Baynes, C",BOS,81,18.3,-3.26,3.81,0.55,3.38
"Derrick Favors, PF",UTAH,77,28.0,-0.46,0.99,0.53,4.96
"Hassan Whiteside, C",MIA,54,25.3,-3.04,3.53,0.49,3.18
"George Hill, PG",CLE/SAC,67,27.0,0.87,-0.42,0.45,4.08
"Jakob Poeltl, C",TOR,82,18.6,-0.50,0.94,0.44,3.46
"Shabazz Napier, PG",POR,74,20.7,0.30,0.12,0.42,3.39
"Goran Dragic, PG",MIA,75,31.7,1.25,-0.85,0.40,5.30
"Dakari Johnson, C",OKC,31,5.2,-1.76,2.10,0.34,0.34
"Devin Harris, PG",DAL/DEN,71,18.9,1.00,-0.69,0.31,2.93
"Jamal Murray, PG",DEN,81,31.7,2.62,-2.33,0.29,5.51
"Jamil Wilson, SF",LAC,15,18.3,-0.64,0.91,0.27,0.59
"Omri Casspi, SF",GS,53,14.0,-0.85,1.11,0.26,1.66
"Jeff Green, SF",CLE,78,23.4,0.12,0.12,0.24,4.00
"Shaquille Harrison, PG",PHX,23,16.7,-0.57,0.75,0.18,0.86
"Willie Reed, C",DET/LAC,42,10.2,-0.65,0.78,0.13,0.93
"Danny Green, SG",SA,70,25.6,-1.16,1.16,0.00,3.49
"Marcin Gortat, C",WSH,82,25.3,-2.12,2.05,-0.07,4.02
"Mario Chalmers, PG",MEM,66,21.5,-1.11,1.01,-0.10,2.71
"Cody Zeller, C",CHA,33,19.0,-1.36,1.25,-0.11,1.20
"Enes Kanter, C",NY,71,25.8,-0.02,-0.12,-0.14,3.52
"Alan Williams, C",PHX,5,14.0,-2.16,2.00,-0.16,0.13
"Kendrick Perkins, C",CLE,1,15.0,-1.69,1.50,-0.19,0.03
"Buddy Hield, SG",SAC,80,25.3,0.77,-0.98,-0.21,3.67
"JaKarr Sampson, SF",SAC,22,15.6,-2.13,1.91,-0.22,0.62
"Tyson Chandler, C",PHX,46,25.0,-2.28,2.02,-0.26,2.14
"JaVale McGee, C",GS,65,9.5,-0.61,0.30,-0.31,1.15
"Ish Smith, PG",DET,82,24.9,0.18,-0.50,-0.32,3.64
"Nick Collison, F",OKC,15,5.0,-1.94,1.59,-0.35,0.14
"Meyers Leonard, C",POR,33,7.7,-0.85,0.49,-0.36,0.46
"Ivica Zubac, C",LAL,43,9.5,-2.19,1.81,-0.38,0.72
"Richaun Holmes, PF",PHI,48,15.5,-0.95,0.51,-0.44,1.33
"Patrick Patterson, PF",OKC,82,15.5,-0.90,0.44,-0.46,2.05
"Tyler Johnson, SG",MIA,72,28.5,-0.04,-0.43,-0.47,3.47
"John Collins, PF",ATL,74,24.1,-1.54,1.05,-0.49,3.04
"Frank Kaminsky, PF",CHA,79,23.2,1.57,-2.07,-0.50,3.05
"Travis Wear, SF",LAL,17,13.4,-1.73,1.20,-0.53,0.02
"Mason Plumlee, C",DEN,74,19.5,-1.52,0.97,-0.55,2.36
"Bam Adebayo, C",MIA,69,19.8,-2.29,1.71,-0.58,2.16
"Reggie Bullock, SG",DET,62,27.9,0.38,-0.51,-0.13,3.28
"Raul Neto, PG",UTAH,41,12.1,-0.76,0.62,-0.14,0.94
"Trey Lyles, PF",DEN,73,19.1,0.73,-0.89,-0.16,2.58
"Vince Carter, SG",SAC,58,17.7,-1.15,0.94,-0.21,1.86
"Domantas Sabonis, C",IND,74,24.5,-0.43,0.22,-0.21,3.36
"Milos Teodosic, PG",LAC,45,25.2,-0.02,-0.23,-0.25,2.18
"Danilo Gallinari, SF",LAC,21,32.0,-1.39,1.11,-0.28,1.21
"Reggie Jackson, PG",DET,45,26.7,0.68,-0.99,-0.31,2.13
"CJ McCollum, SG",POR,81,36.1,1.71,-2.04,-0.33,5.16
"CJ Miles, SF",TOR,70,19.1,0.89,-1.24,-0.35,2.36
"Wayne Ellington, SG",MIA,77,26.5,1.40,-1.78,-0.38,3.47
"Marshall Plumlee, C",MIL,8,6.5,-2.02,1.61,-0.41,0.09
"Matt Costello, SF",SA,4,8.0,-1.72,1.28,-0.44,0.05
"Ron Baker, SG",NY,29,13.3,-1.29,0.83,-0.46,0.65
"Allen Crabbe, SG",BKN,75,29.3,0.65,-1.13,-0.48,3.75
"Nicolas Batum, SG",CHA,64,31.0,0.57,-1.07,-0.50,3.38
"Derrick White, PG",SA,17,8.2,-0.98,0.46,-0.52,0.24
"Ian Mahinmi, C",WSH,77,14.9,-1.99,1.45,-0.54,1.89
"Jack Cooley, C",SAC,7,12.4,-1.70,1.12,-0.58,0.13
"Julyan Stone, G",CHA,23,7.6,-1.38,0.79,-0.59,0.29
"Jerian Grant, PG",CHI,74,22.8,0.59,-1.23,-0.64,2.65
"Mike Conley, PG",MEM,12,31.1,-0.66,0.00,-0.66,0.56
"Isaiah Canaan, PG",HOU/PHX,20,21.1,-0.31,-0.35,-0.66,0.66
"Joe Harris, SF",BKN,78,25.3,0.93,-1.62,-0.69,3.08
"Emeka Okafor, C",NO,26,13.6,-1.84,1.11,-0.73,0.01
"Josh Hart, SG",LAL,63,23.2,0.31,-1.04,-0.73,2.26
"Jon Leuer, PF",DET,8,17.0,-2.46,1.72,-0.74,0.22
"Jameel Warney, PF",DAL,3,9.0,-1.83,1.08,-0.75,0.03
"Mangok Mathiang, PF",CHA,4,5.0,-1.92,1.16,-0.76,0.03
"Gerald Green, SG",HOU,41,22.7,0.01,-0.78,-0.77,1.40
